,PubChemID,SMILES,logKp,Total Molweight,cLogP,cLogS,H-Acceptors,H-Donors,Polar Surface Area,Rotatable Bonds,Aromatic Rings,sp3-Atoms,amide_amide,amide_amides,amine_amine,alkyl-amine_alkyl-amine,aromatic amine_aromatic amine,aromatic nitrogen_aromatic nitrogen,basic nitrogen_basic nitrogen,acidic oxygen_acidic oxygen,acidic oxygen_acidic oxygens,AA,ALCOHOL,ALIPH. MISC.,AROM. MISC.,AZEPANE,AZONE OTHER,CAPROLACTAM,ESTER,ETHER,FATTY ACID,INORGANIC MISC.,MORPHOLINE,PIPERAZINE,PIPERIDINE,PIPERIDONE,POLYOL,PYRROLIDINE,PYRROLIDONE,STEROID,SUCCINIMIDE,SURF,TERP
62,10567,CC(=O)C(Cl)Cl,-1.36,126.97,1.0101,-1.604,1,0,17.07,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,4510,C(C(CO[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-],-1.96,227.085,-2.3418,-2.6460000000000004,12,0,165.15,8,0,9,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,542762,C(C(=O)O)(Cl)Br,-1.79,173.393,0.4634,-1.2990000000000002,2,1,37.3,1,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,1176,C(=O)(N)N,-3.83,60.0558,-1.3194,-0.7979999999999999,3,2,69.11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,11723,CCN(C)C,-2.57,73.1383,0.2707,-0.107,1,0,3.24,1,0,5,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,12433,C(C(=O)O)(Br)Br,-2.58,217.844,0.5944,-1.4409999999999998,2,1,37.3,1,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,176,C(=O)O,-2.52,60.0518,-0.2991,-0.459,2,1,37.3,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,679,CS(=O),-3.30,78.1346,-1.2837,-0.044,1,0,36.28,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,6359,C(Cl)(Cl)Br,-0.74,163.829,1.7658,-3.651,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,1146,CN(C)C,-2.31,59.1115,-0.1356,0.193,1,0,3.24,0,0,4,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,6421,C(=O)(C(Cl)(Cl)Cl)O,-1.72,163.387,1.1454,-1.66,2,1,37.3,1,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,6569,CCC(=O)C,-2.95,72.1065,0.833,-1.176,1,0,17.07,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,6227,C(C(=O)O)Br,-1.85,138.94799999999998,0.0612,-1.002,2,1,37.3,1,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,300,C(C(=O)O)Cl,-1.96,94.4968,-0.0698,-0.86,2,1,37.3,1,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,6597,C(C(=O)O)(Cl)Cl,-1.72,128.942,0.3324,-1.157,2,1,37.3,1,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,55004,C(#N)C(Cl)Br,-0.79,154.394,0.9853,-1.972,1,0,23.79,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,13514,CC(=O)C(Cl)(Cl)Cl,-1.62,161.415,1.8231,-2.107,1,0,17.07,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,980,C1=CC(=CC=C1[N+](=O)[O-])O,-2.25,139.11,0.3923,-1.78,4,1,66.05,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,7500,C1=CC=CC=C1,-1.15,106.167,2.4191,-2.119,0,0,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,244,C1=CC=C(C=C1)CO,-2.22,108.14,1.0623,-1.5,1,1,20.23,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,7808,C1=CC(=CC=C1O)Br,-1.44,173.009,2.0391,-2.154,1,1,20.23,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,2879,C1=CC=C(C=C1)O,-1.76,108.14,1.6578,-1.664,1,1,20.23,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,4684,C1=CC(=CC=C1O)Cl,-1.44,128.558,1.9199,-2.056,1,1,20.23,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,7814,C1=CC(=CC=C1N)N,-3.62,108.144,0.305,-1.768,2,2,52.04,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,342,C1=CC(=CC=C1)O,-1.82,108.14,1.6578,-1.664,1,1,20.23,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,5054,C1=CC(=CC(=C1)O)O,-3.62,110.112,0.9682,-1.024,2,2,40.46,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,359,C1=C(C=C(C=C1O)O)O,-2.51,126.111,0.6225,-0.728,3,3,60.69,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
